year_month,process,quantity_kg
2018-12,Orthodox,24006583.0
2018-12,CTC,2075590.0
2018-12,Green Tea,224980.0
2019-01,Orthodox,21323780.0
2019-01,CTC,1808956.0
2019-01,Green Tea,219746.0
2019-02,Orthodox,19857018.0
2019-02,CTC,1632464.0
2019-02,Green Tea,227088.0
2019-03,Orthodox,26137495.0
2019-03,CTC,1966264.0
2019-03,Green Tea,252638.0
2019-04,Orthodox,21895989.0
2019-04,CTC,1516381.0
2019-04,Green Tea,224105.0
2019-05,Orthodox,31488697.0
2019-05,CTC,2434286.0
2019-05,Green Tea,328743.0
2019-06,Orthodox,25311970.0
2019-06,CTC,1936335.0
2019-06,Green Tea,282543.0
2019-07,Orthodox,23795040.0
2019-07,CTC,1971711.0
2019-07,Green Tea,206559.0
2019-08,Orthodox,23776578.0
2019-08,CTC,2213704.0
2019-08,Green Tea,211205.0
2019-09,Orthodox,19959561.0
2019-09,CTC,1813975.0
2019-09,Green Tea,144488.0
2019-10,Orthodox,19057572.0
2019-10,CTC,2036804.0
2019-10,Green Tea,169032.0
2019-11,Orthodox,21509109.0
2019-11,CTC,2276500.0
2019-11,Green Tea,240518.0
2019-12,Orthodox,19780714.0
2019-12,CTC,1977641.0
2019-12,Green Tea,135463.0
2020-01,Orthodox,19694204.0
2020-01,CTC,2084075.0
2020-01,Green Tea,164633.0
2020-02,Orthodox,16259760.0
2020-02,CTC,1786826.0
2020-02,Green Tea,166708.0
2020-03,Orthodox,11953462.0
2020-03,CTC,1457944.0
2020-03,Green Tea,114632.0
2020-04,Orthodox,19052033.0
2020-04,CTC,1692392.0
2020-04,Green Tea,78221.0
2020-05,Orthodox,26059255.0
2020-05,CTC,2409219.0
2020-05,Green Tea,134572.0
2020-06,Orthodox,24831263.0
2020-06,CTC,2333369.0
2020-06,Green Tea,192438.0
2020-07,Orthodox,24120523.0
2020-07,CTC,2183354.0
2020-07,Green Tea,175826.0
2020-08,Orthodox,20604127.0
2020-08,CTC,1675903.0
2020-08,Green Tea,176107.0
2020-09,Orthodox,20144283.0
2020-09,CTC,1693093.0
2020-09,Green Tea,199752.0
2020-10,Orthodox,21817231.0
2020-10,CTC,1809839.0
2020-10,Green Tea,217718.0
2020-11,Orthodox,22441080.0
2020-11,CTC,2249569.0
2020-11,Green Tea,221205.0
2020-12,Orthodox,25747680.0
2020-12,CTC,2723590.0
2020-12,Green Tea,185884.0
2021-01,Orthodox,20830843.0
2021-01,CTC,2047533.0
2021-01,Green Tea,166819.0
2021-02,Orthodox,20142009.0
2021-02,CTC,2072262.0
2021-02,Green Tea,165127.0
2021-03,Orthodox,25706005.0
2021-03,CTC,2458612.0
2021-03,Green Tea,246372.0
2021-04,Orthodox,26807362.0
2021-04,CTC,2586384.0
2021-04,Green Tea,193762.0
2021-05,Orthodox,27394206.0
2021-05,CTC,2759582.0
2021-05,Green Tea,222031.0
2021-06,Orthodox,23596837.0
2021-06,CTC,2086701.0
2021-06,Green Tea,254153.0
2021-07,Orthodox,23765416.0
2021-07,CTC,2144964.0
2021-07,Green Tea,254586.0
2021-08,Orthodox,21490672.0
2021-08,CTC,1965668.0
2021-08,Green Tea,243754.0
2021-09,Orthodox,20428328.0
2021-09,CTC,1895103.0
2021-09,Green Tea,240592.0
2021-10,Orthodox,21517485.0
2021-10,CTC,2243907.0
2021-10,Green Tea,235539.0
2021-11,Orthodox,17976845.0
2021-11,CTC,1871895.0
2021-11,Green Tea,154759.0
2021-12,Orthodox,18217491.0
2021-12,CTC,2005120.0
2021-12,Green Tea,194882.0
2022-01,Orthodox,20356999.0
2022-01,CTC,2235738.0
2022-01,Green Tea,224477.0
2022-03,Orthodox,20100077.0
2022-03,CTC,1798559.0
2022-03,Green Tea,117253.0
2022-04,Orthodox,20885362.0
2022-04,CTC,1927680.0
2022-04,Green Tea,96548.0
2022-05,Orthodox,23467054.0
2022-05,CTC,2423330.0
2022-05,Green Tea,148907.0
2022-06,Orthodox,18490247.0
2022-06,CTC,1526634.0
2022-06,Green Tea,131884.0
2022-07,Orthodox,18047265.0
2022-07,CTC,1693452.0
2022-07,Green Tea,120166.0
2022-08,Orthodox,16371343.0
2022-08,CTC,1812353.0
2022-08,Green Tea,93196.0
2022-09,Orthodox,18834694.0
2022-09,CTC,1956204.0
2022-09,Green Tea,172439.0
2022-10,Orthodox,16855496.0
2022-10,CTC,1727125.0
2022-10,Green Tea,168942.0
2022-11,Orthodox,18225311.0
2022-11,CTC,1833197.0
2022-11,Green Tea,186407.0
2022-12,Orthodox,17511890.0
2022-12,CTC,1822360.0
2022-12,Green Tea,167152.0
2023-01,ORTHODOX,19514196.1
2023-01,CTC,1436954.5
2023-01,Green Tea,189598.1
2023-02,ORTHODOX,19514196.1
2023-02,CTC,1436954.5
2023-02,Green Tea,189598.1
2023-03,ORTHODOX,19514196.1
2023-03,CTC,1436954.5
2023-03,Green Tea,189598.1
2023-04,ORTHODOX,19514196.1
2023-04,CTC,1436954.5
2023-04,Green Tea,189598.1
2023-05,ORTHODOX,19514196.1
2023-05,CTC,1436954.5
2023-05,Green Tea,189598.1
2023-06,ORTHODOX,19514196.1
2023-06,CTC,1436954.5
2023-06,Green Tea,189598.1
2023-07,ORTHODOX,19514196.1
2023-07,CTC,1436954.5
2023-07,Green Tea,189598.1
2023-08,ORTHODOX,19514196.1
2023-08,CTC,1436954.5
2023-08,Green Tea,189598.1
2023-09,ORTHODOX,19514196.1
2023-09,CTC,1436954.5
2023-09,Green Tea,189598.1
2023-10,Orthodox,20787810.0
2023-10,CTC,1861026.0
2023-10,Green Tea,203403.0
2023-11,Orthodox,17673328.0
2023-11,CTC,1719704.0
2023-11,Green Tea,193155.0
2023-12,Orthodox,17790507.0
2023-12,CTC,1837683.0
2023-12,Green Tea,180806.0
2024-01,Orthodox,16809288.0
2024-01,CTC,1772824.0
2024-01,Green Tea,147346.0
2024-02,Orthodox,18024709.0
2024-02,CTC,1786034.0
2024-02,Green Tea,185270.0
2024-03,Orthodox,17495739.0
2024-03,CTC,1894465.0
2024-03,Green Tea,176731.0
2024-04,Orthodox,19570286.0
2024-04,CTC,1743177.0
2024-04,Green Tea,151145.0
2024-05,Orthodox,22237352.0
2024-05,CTC,2123852.0
2024-05,Green Tea,188529.0
2024-06,Orthodox,20672039.0
2024-06,CTC,2124188.0
2024-06,Green Tea,228160.0
2024-07,Orthodox,20638358.0
2024-07,CTC,2016278.0
2024-07,Green Tea,236930.0
2024-08,Orthodox,19222141.0
2024-08,CTC,1876654.0
2024-08,Green Tea,183145.0
2024-09,Orthodox,21763044.0
2024-09,CTC,2180508.0
2024-09,Green Tea,189695.0
2024-10,Orthodox,18965217.0
2024-10,CTC,2004575.0
2024-10,Green Tea,179542.0
2024-11,Orthodox,20009303.0
2024-11,CTC,2089275.0
2024-11,Green Tea,203616.0
2024-12,Orthodox,19594317.0
2024-12,CTC,1930306.0
2024-12,Green Tea,190307.0
2025-01,Orthodox,19430930.0
2025-01,CTC,1840877.0
2025-01,Green Tea,191206.0
2025-02,Orthodox,14026917.0
2025-02,CTC,1411007.0
2025-02,Green Tea,158205.0
2025-03,Orthodox,22059746.0
2025-03,CTC,2131826.0
2025-03,Green Tea,237211.0
2025-04,Orthodox,23716041.0
2025-04,CTC,2456073.0
2025-04,Green Tea,220423.0
2025-05,Orthodox,22876295.0
2025-05,CTC,2274322.0
2025-05,Green Tea,214702.0
2025-06,Orthodox,19662712.0
2025-06,CTC,1840432.0
2025-06,Green Tea,184460.0
2025-07,Orthodox,19102296.0
2025-07,CTC,2068055.0
2025-07,Green Tea,188885.0
2025-08,Orthodox,17640052.0
2025-08,CTC,1854795.0
2025-08,Green Tea,184319.0
2025-09,Orthodox,19773120.0
2025-09,CTC,2214731.0
2025-09,Green Tea,188406.0
2025-10,Orthodox,19488916.0
2025-10,CTC,2116555.0
2025-10,Green Tea,176195.0
2025-11,Orthodox,19028576.0
2025-11,CTC,2228311.0
2025-11,Green Tea,192855.0
2025-12,Orthodox,18964269.0
2025-12,CTC,2214579.0
2025-12,Green Tea,196710.0
2026-01,Orthodox,18241867.0
2026-01,CTC,2253385.0
2026-01,Green Tea,188838.0
2026-02,Orthodox,15755653.0
2026-02,CTC,2036229.0
2026-02,Green Tea,180057.0
2026-03,Orthodox,18363304.0
2026-03,CTC,2297874.0
2026-03,Green Tea,236208.0
2026-04,Orthodox,21582698.0
2026-04,CTC,2399324.0
2026-04,Green Tea,238637.0
2026-05,Orthodox,22339549.0
2026-05,CTC,2359544.0
2026-05,Green Tea,210511.0
2026-06,Orthodox,20297165.0
2026-06,CTC,2034653.0
2026-06,Green Tea,232344.0
